year,GDP growth (annual %),GDP (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)"
1960,,44307342906,,3.574511525
1961,12.04353641,53508617686,7.785717616,5.368461785
1962,8.908972996,60723018623,4.19957757,6.835440348
1963,8.473642383,69498131728,5.510469059,6.706905564
1964,11.6767082,81749006300,5.328705884,3.800389453
1965,5.819707873,90950278167,5.136857285,6.655990943
1966,10.63856156,1.06E+11,4.970869147,5.040832059
1967,11.08214232,1.24E+11,5.495390076,3.989848089
1968,12.88246814,1.47E+11,4.918863182,5.339432957
1969,12.47789451,1.72E+11,4.433398705,5.249820911
1970,2.454958384,2.13E+11,20.50506718,6.924173835
1971,4.698992042,2.40E+11,5.091351938,6.395348837
1972,8.413547255,3.18E+11,5.60442162,4.843517139
1973,8.032599975,4.32E+11,12.70539616,11.60862355
1974,-1.225239828,4.80E+11,20.81005042,23.22224581
1975,3.091575916,5.22E+11,7.177440853,11.73126615
1976,3.974984091,5.86E+11,8.007886485,9.374036386
1977,4.39033795,7.21E+11,6.749106631,8.161826896
1978,5.271941503,1.01E+12,4.60375829,4.209566011
1979,5.484041832,1.06E+12,2.75163103,3.701850925
1980,2.817591208,1.11E+12,5.437983897,7.778581766
1981,4.260624493,1.22E+12,2.876200658,4.912162918
1982,3.279742743,1.13E+12,1.777196577,2.741040956
1983,3.630198572,1.24E+12,0.841281877,1.899719713
1984,4.410880154,1.32E+12,1.56193307,2.261613692
1985,5.159807905,1.40E+12,1.330994285,2.032277346
1986,3.294047613,2.08E+12,1.644151344,0.595586799
1987,4.648861398,2.53E+12,-0.079846901,0.126176842
1988,6.661636522,3.07E+12,0.741694323,0.67855758
1989,4.925785413,3.05E+12,2.042961081,2.272289621
1990,4.840929057,3.13E+12,2.655984947,3.078516287
1991,3.523357235,3.58E+12,2.822596517,3.251438488
1992,0.900586066,3.91E+12,1.61372353,1.760283061
1993,-0.459219716,4.45E+12,0.509067249,1.243045897
1994,1.083383174,5.00E+12,2.04914796,0.695458058
1995,2.630999616,5.55E+12,-0.523458984,-0.127899045
1996,3.133870993,4.92E+12,-0.445775393,0.136600359
1997,0.981228732,4.49E+12,0.504460814,1.747804587
1998,-1.270330495,4.10E+12,-0.026680247,0.661974191
1999,-0.333929958,4.64E+12,-1.241051347,-0.341296928
2000,2.764647551,4.97E+12,-1.33626009,-0.676578684
2001,0.386103426,4.37E+12,-1.084879848,-0.740055504
2002,0.041962499,4.18E+12,-1.390978615,-0.923494027
2003,1.535125499,4.52E+12,-1.607703708,-0.256541816
2004,2.186115694,4.89E+12,-1.1247664,-0.008573388
2005,1.803900872,4.83E+12,-1.194017681,-0.282946069
2006,1.372350128,4.60E+12,-0.862018389,0.249355116
2007,1.483969412,4.58E+12,-0.705243547,0.060039454
2008,-1.224289001,5.11E+12,-0.911530288,1.380078862
2009,-5.693236359,5.29E+12,-0.569564925,-1.35283673
2010,4.097917919,5.76E+12,-1.88074195,-0.728243208
2011,0.023809524,6.23E+12,-1.62208025,-0.272455616
2012,1.374750999,6.27E+12,-0.75609312,-0.04406451
2013,2.005100177,5.21E+12,-0.354375054,0.335037912
2014,0.296205514,4.90E+12,1.686294786,2.759226714
2015,1.560626697,4.44E+12,2.111298993,0.795279631
2016,0.753826746,5.00E+12,0.419944376,-0.127258844
2017,1.675331752,4.93E+12,-0.074349504,0.484199796
2018,0.643391023,5.04E+12,-0.000237506,0.989094598
2019,-0.402169201,5.12E+12,0.634803166,0.468776159
2020,-4.278603688,5.05E+12,0.944197436,-0.024995834
2021,2.142487369,5.01E+12,-0.227533441,-0.233352779
2022,1.028624866,4.23E+12,0.244463731,2.497702782
