Year,GDP per capita (current US$)
1960,757817.4229
1960,757817.4229
1960,757817.4229
1960,757817.4229
1961,841511.3326
1961,841511.3326
1961,841511.3326
1961,841511.3326
1962,908005.155
1962,908005.155
1962,908005.155
1962,908005.155
1963,975014.6375
1963,975014.6375
1963,975014.6375
1963,975014.6375
1964,1077593.9
1964,1077593.9
1964,1077593.9
1964,1077593.9
1965,1128094.8
1965,1128094.8
1965,1128094.8
1965,1128094.8
1966,1236756.948
1966,1236756.948
1966,1236756.948
1966,1236756.948
1967,1359676.174
1967,1359676.174
1967,1359676.174
1967,1359676.174
1968,1517635.577
1968,1517635.577
1968,1517635.577
1968,1517635.577
1969,1686831.567
1969,1686831.567
1969,1686831.567
1969,1686831.567
1970,1708453.606
1970,1708453.606
1970,1708453.606
1970,1708453.606
1971,1749911.836
1971,1749911.836
1971,1749911.836
1971,1749911.836
1972,1870751.993
1972,1870751.993
1972,1870751.993
1972,1870751.993
1973,1992781.587
1973,1992781.587
1973,1992781.587
1973,1992781.587
1974,1942367.417
1974,1942367.417
1974,1942367.417
1974,1942367.417
1975,1977093.754
1975,1977093.754
1975,1977093.754
1975,1977093.754
1976,2033772.645
1976,2033772.645
1976,2033772.645
1976,2033772.645
1977,2102609.355
1977,2102609.355
1977,2102609.355
1977,2102609.355
1978,2193405.917
1978,2193405.917
1978,2193405.917
1978,2193405.917
1979,2294187.837
1979,2294187.837
1979,2294187.837
1979,2294187.837
1980,2340310.553
1980,2340310.553
1980,2340310.553
1980,2340310.553
1981,2422312.374
1981,2422312.374
1981,2422312.374
1981,2422312.374
1982,2484464.438
1982,2484464.438
1982,2484464.438
1982,2484464.438
1983,2556808.699
1983,2556808.699
1983,2556808.699
1983,2556808.699
1984,2652335.073
1984,2652335.073
1984,2652335.073
1984,2652335.073
1985,2771786.447
1985,2771786.447
1985,2771786.447
1985,2771786.447
1986,2847889.038
1986,2847889.038
1986,2847889.038
1986,2847889.038
1987,2965951.998
1987,2965951.998
1987,2965951.998
1987,2965951.998
1988,3150396.501
1988,3150396.501
1988,3150396.501
1988,3150396.501
1989,3292390.232
1989,3292390.232
1989,3292390.232
1989,3292390.232
1990,3440339.095
1990,3440339.095
1990,3440339.095
1990,3440339.095
1991,3547591.481
1991,3547591.481
1991,3547591.481
1991,3547591.481
1992,3566278.244
1992,3566278.244
1992,3566278.244
1992,3566278.244
1993,3538412.193
1993,3538412.193
1993,3538412.193
1993,3538412.193
1994,3566774.679
1994,3566774.679
1994,3566774.679
1994,3566774.679
1995,3652039.125
1995,3652039.125
1995,3652039.125
1995,3652039.125
1996,3757953.418
1996,3757953.418
1996,3757953.418
1996,3757953.418
1997,3785796.318
1997,3785796.318
1997,3785796.318
1997,3785796.318
1998,3727561.531
1998,3727561.531
1998,3727561.531
1998,3727561.531
1999,3708336.983
1999,3708336.983
1999,3708336.983
1999,3708336.983
2000,3804490.122
2000,3804490.122
2000,3804490.122
2000,3804490.122
2001,3809988.055
2001,3809988.055
2001,3809988.055
2001,3809988.055
2002,3802734.142
2002,3802734.142
2002,3802734.142
2002,3802734.142
2003,3852857.675
2003,3852857.675
2003,3852857.675
2003,3852857.675
2004,3935760.512
2004,3935760.512
2004,3935760.512
2004,3935760.512
2005,4006381.43
2005,4006381.43
2005,4006381.43
2005,4006381.43
2006,4058789.994
2006,4058789.994
2006,4058789.994
2006,4058789.994
2007,4114290.795
2007,4114290.795
2007,4114290.795
2007,4114290.795
2008,4061952.492
2008,4061952.492
2008,4061952.492
2008,4061952.492
2009,3831174.597
2009,3831174.597
2009,3831174.597
2009,3831174.597
2010,3987456.754
2010,3987456.754
2010,3987456.754
2010,3987456.754
2011,3995800.58
2011,3995800.58
2011,3995800.58
2011,3995800.58
2012,4057207.51
2012,4057207.51
2012,4057207.51
2012,4057207.51
2013,4144533.67
2013,4144533.67
2013,4144533.67
2013,4144533.67
2014,4162329.516
2014,4162329.516
2014,4162329.516
2014,4162329.516
2015,4231776.532
2015,4231776.532
2015,4231776.532
2015,4231776.532
2016,4265857.687
2016,4265857.687
2016,4265857.687
2016,4265857.687
2017,4340877.563
2017,4340877.563
2017,4340877.563
2017,4340877.563
2018,4374353.042
2018,4374353.042
2018,4374353.042
2018,4374353.042
2019,4362884.765
2019,4362884.765
2019,4362884.765
2019,4362884.765
2020,4188518.504
2020,4188518.504
2020,4188518.504
2020,4188518.504
2021,4297980.255
2021,4297980.255
2021,4297980.255
2021,4297980.255
2022,4361506.078
2022,4361506.078
2022,4361506.078
2022,4361506.078
